item;realizacao;correcao;valor;classe;sexo;participante;periodo
beijo;sim;nao;nao morfemico;nao verbo;feminino;31F23;final
dinheiro;nao;nao;nao morfemico;nao verbo;feminino;31F23;final
ouviu;nao;nao;morfemico;verbo;masculino;33M17;inicio
poupava;sim;sim;morfemico;verbo;masculino;33M17;inicio
entrou;nao;nao;morfemico;verbo;masculino;33M17;inicio
pouco;nao;nao;nao morfemico;nao verbo;masculino;33M17;inicio
passageira;nao;nao;nao morfemico;nao verbo;masculino;33M17;inicio
beijava;sim;nao;morfemico;verbo;masculino;33M17;inicio
apaixonadamente;sim;nao;nao morfemico;nao verbo;masculino;33M17;inicio
deitado;sim;nao;nao morfemico;nao verbo;masculino;33M17;inicio
comecou;nao;nao;morfemico;verbo;masculino;33M17;inicio
primeira;nao;nao;nao morfemico;nao verbo;masculino;33M17;inicio
acompanhou;nao;nao;morfemico;verbo;masculino;33M17;inicio
mostrou;nao;nao;morfemico;verbo;masculino;33M17;inicio
deitados;sim;nao;morfemico;nao verbo;masculino;33M17;inicio
revolucionario;sim;nao;nao morfemico;nao verbo;masculino;33M17;inicio
beijo;nao;nao;nao morfemico;nao verbo;masculino;33M17;inicio
dinheiro;nao;nao;nao morfemico;nao verbo;masculino;33M17;inicio
ouviu;sim;nao;morfemico;verbo;masculino;36M21;inicio
poupava;nao;sim;morfemico;verbo;masculino;36M21;inicio
entrou;nao;nao;morfemico;verbo;masculino;36M21;inicio
pouco;nao;nao;nao morfemico;nao verbo;masculino;36M21;inicio
passageira;nao;nao;nao morfemico;nao verbo;masculino;36M21;inicio
beijava;nao;nao;morfemico;verbo;masculino;36M21;inicio
apaixonadamente;sim;nao;nao morfemico;nao verbo;masculino;36M21;inicio
deitado;sim;nao;nao morfemico;nao verbo;masculino;36M21;inicio
comecou;nao;nao;morfemico;verbo;masculino;36M21;inicio
primeira;nao;nao;nao morfemico;nao verbo;masculino;36M21;inicio
acompanhou;nao;nao;morfemico;verbo;masculino;36M21;inicio
mostrou;nao;nao;morfemico;verbo;masculino;36M21;inicio
deitados;sim;nao;morfemico;nao verbo;masculino;36M21;inicio
revolucionario;sim;nao;nao morfemico;nao verbo;masculino;36M21;inicio
beijo;nao;nao;nao morfemico;nao verbo;masculino;36M21;inicio
dinheiro;nao;nao;nao morfemico;nao verbo;masculino;36M21;inicio
ouviu;nao;nao;morfemico;verbo;masculino;38M22;inicio
poupava;sim;nao;morfemico;verbo;masculino;38M22;inicio
entrou;nao;nao;morfemico;verbo;masculino;38M22;inicio
pouco;nao;nao;nao morfemico;nao verbo;masculino;38M22;inicio
passageira;nao;nao;nao morfemico;nao verbo;masculino;38M22;inicio
beijava;nao;nao;morfemico;verbo;masculino;38M22;inicio
apaixonadamente;nao;nao;nao morfemico;nao verbo;masculino;38M22;inicio
